title,author,blurb,isbn,call_number,cover_filename
Monstress,Marjorie Liu,"Maika has spent most of her life learning howto fight, but how will she fare when the only way to save her life...is to makefriends? Collects issues 13-18 ofthe Hugo Award and British Fantasy Award series.",1534306919,,Monstress_325.jpg
Monstress,Marjorie Liu,"Maika has spent most of her life learning howto fight, but how will she fare when the only way to save her life...is to makefriends? Collects issues 13-18 ofthe Hugo Award and British Fantasy Award series.",1534306919,,Monstress_326.jpg
Monstress,Marjorie Liu,"Maika has spent most of her life learning howto fight, but how will she fare when the only way to save her life...is to makefriends? Collects issues 13-18 ofthe Hugo Award and British Fantasy Award series.",1534306919,,Monstress_327.jpg
Monstress,Marjorie Liu,"Maika has spent most of her life learning howto fight, but how will she fare when the only way to save her life...is to makefriends? Collects issues 13-18 ofthe Hugo Award and British Fantasy Award series.",1534306919,,Monstress_328.jpg
Monstress,Marjorie Liu,"Maika has spent most of her life learning howto fight, but how will she fare when the only way to save her life...is to makefriends? Collects issues 13-18 ofthe Hugo Award and British Fantasy Award series.",1534306919,,Monstress_329.jpg
Monstress,Marjorie Liu,"Maika has spent most of her life learning howto fight, but how will she fare when the only way to save her life...is to makefriends? Collects issues 13-18 ofthe Hugo Award and British Fantasy Award series.",1534306919,,Monstress_330.jpg
Monstress,Marjorie Liu,"Maika has spent most of her life learning howto fight, but how will she fare when the only way to save her life...is to makefriends? Collects issues 13-18 ofthe Hugo Award and British Fantasy Award series.",1534306919,,Monstress_331.jpg
The Umbrella Academy Boxed Set,Gerard Way,"Three magnificent New York Times bestselling Umbrella Academy original graphic novels tied into the hit Netflix show are collected into one deluxe boxed set featuring an exclusive, double-sided poster! Collects Umbrella Academy: Apocalypse Suite, Umbrella Academy: Dallas, and Umbrella Academy: Hotel Oblivion. Also includes an exclusive Umbrella Academy double-sided poster.",9781506728193,,The Umbrella Academy Boxed Set_332.jpg
The Umbrella Academy Boxed Set,Gerard Way,"Three magnificent New York Times bestselling Umbrella Academy original graphic novels tied into the hit Netflix show are collected into one deluxe boxed set featuring an exclusive, double-sided poster! Collects Umbrella Academy: Apocalypse Suite, Umbrella Academy: Dallas, and Umbrella Academy: Hotel Oblivion. Also includes an exclusive Umbrella Academy double-sided poster.",9781506728193,,The Umbrella Academy Boxed Set_333.jpg
The Handmaid's Tale,Margaret Atwood,"An instant classic and eerily prescient cultural phenomenon, from “the patron saint of feminist dystopian fiction” (New York Times). Now an award-winning Hulu series starring Elizabeth Moss. In this multi-award-winning, bestselling novel, Margaret Atwood has created a stunning Orwellian vision of the near future. This is the story of Offred, one of the unfortunate “Handmaids” under the new social order who have only one purpose: to breed. In Gilead, where women are prohibited from holding jobs, reading, and forming friendships, Offred’s persistent memories of life in the “time before” and h...",9780771008795,,The Handmaids Tale_334.jpg
International Who's Who of Authors and Writers 2004,Europa Publications,"Accurate and reliable biographical information essential to anyone interested in the world of literature TheInternational Who's Who of Authors and Writersoffers invaluable information on the personalities and organizations of the literary world, including many up-and-coming writers as well as established names. With over 8,000 entries, this updated edition features: * Concise biographical information on novelists, authors, playwrights, columnists, journalists, editors, and critics * Biographical details of established writers as well as those who have recently risen to prominence * Entries ...",1857431790,,International Whos Who of Authors and Writers 2004_335.jpg
V for Vendetta as Cultural Pastiche,James R. Keller,"The 2005 James McTeigue and Wachowski Brothers film V for Vendetta represents a postmodern pastiche, a collection of fragments pasted together from the original Moore and Lloyd graphic novel of the same name, along with numerous allusions to literature, history, cinema, music, art, politics, and medicine. Paralleling the graphic novel, the film simultaneously reflects a range of authorial contributions and influences. This work examines in detail the intersecting texts of V for Vendetta. Subjects include the alternative dimensions of the cinematic narrative, represented in the film's conspi...",9781476604978,,V for Vendetta as Cultural Pastiche_336.jpg
Watchmen as Literature,Sara J. Van Ness,"Watchmen has been hailed as the quintessential graphic novel and has spawned a body of literary criticism since its 1986 initial appearance in installments. This work explores the graphic novel's reception in both popular and scholarly arenas and how the conceptual relationship between images and words affects the reading experience. Other topics include heroism as a stereotype, the hero's journey, the role of the narrator, and the way in which the graphic layout manipulates the reader's perception of time and space. Instructors considering this book for use in a course may request an exami...",9780786490073,,Watchmen as Literature_337.jpg
Aya: Love in Yop City,"Marguerite Abouet, Clément Oubrerie","THE DRAMATIC CONCLUSION TO THE AYA SERIES Aya: Love in Yop City comprises the final three chapters of the Aya story, episodes never before seen in English. Aya is a lighthearted story about life in the Ivory Coast during the 1970s, a particularly thriving and wealthy time in the country's history. While the stories found in Aya: Love in Yop City maintain their familiar tone, quick pace, and joyfulness, we see Aya and her friends beginning to make serious decisions about their future. When a professor tries to take advantage of Aya, her plans to become a doctor are seriously shaken, and she ...",1770460926,,Aya Love in Yop City_338.jpg
Aya: Love in Yop City,"Marguerite Abouet, Clément Oubrerie","THE DRAMATIC CONCLUSION TO THE AYA SERIES Aya: Love in Yop City comprises the final three chapters of the Aya story, episodes never before seen in English. Aya is a lighthearted story about life in the Ivory Coast during the 1970s, a particularly thriving and wealthy time in the country's history. While the stories found in Aya: Love in Yop City maintain their familiar tone, quick pace, and joyfulness, we see Aya and her friends beginning to make serious decisions about their future. When a professor tries to take advantage of Aya, her plans to become a doctor are seriously shaken, and she ...",1770460926,,Aya Love in Yop City_339.jpg
The Many Deaths of Laila Starr,Ram V,"Humanity is on the verge of discovering immortality. As a result, the avatar of Death is cast down to Earth to live a mortal life in Mumbai as twenty-something Laila Starr. Struggling with her newfound mortality, Laila has found a way to be placed in the time and place where the creator of immortality will be born. Will Laila take her chance to stop mankind from permanently altering the cycle of life, or will death really become a thing of the past? A powerful new graphic novel from award-winning writer Ram V (These Savage Shores, Swamp Thing) and Filipe Andrade (Captain Marvel) that explor...",9781646684380,,The Many Deaths of Laila Starr_341.jpg
The Shonen Jump Guide to Making Manga,"Weekly Shonen Jump Editorial Department,","From Dragon Ball to Demon Slayer, from One Piece to My Hero Academia and beyond, Weekly Shonen Jump has published some of the finest manga to grace the earth. Now, the creators and editors behind several of the most popular manga in Shonen Jump sit down to discuss how to craft exciting stories, how to use your tools to the best of your abilities, and more. Whether you’re getting started on your artistic path or a veteran looking for new tips, The Shonen Jump Guide to Making Manga is the perfect book to sharpen your skills. Featuring commentary and advice from Eiichiro Oda (One Piece), Tite ...",9781974735358,,The Shonen Jump Guide to Making Manga_342.jpg
The Shonen Jump Guide to Making Manga,"Weekly Shonen Jump Editorial Department,","From Dragon Ball to Demon Slayer, from One Piece to My Hero Academia and beyond, Weekly Shonen Jump has published some of the finest manga to grace the earth. Now, the creators and editors behind several of the most popular manga in Shonen Jump sit down to discuss how to craft exciting stories, how to use your tools to the best of your abilities, and more. Whether you’re getting started on your artistic path or a veteran looking for new tips, The Shonen Jump Guide to Making Manga is the perfect book to sharpen your skills. Featuring commentary and advice from Eiichiro Oda (One Piece), Tite ...",9781974735358,,The Shonen Jump Guide to Making Manga_343.jpg
The Shonen Jump Guide to Making Manga,"Weekly Shonen Jump Editorial Department,","From Dragon Ball to Demon Slayer, from One Piece to My Hero Academia and beyond, Weekly Shonen Jump has published some of the finest manga to grace the earth. Now, the creators and editors behind several of the most popular manga in Shonen Jump sit down to discuss how to craft exciting stories, how to use your tools to the best of your abilities, and more. Whether you’re getting started on your artistic path or a veteran looking for new tips, The Shonen Jump Guide to Making Manga is the perfect book to sharpen your skills. Featuring commentary and advice from Eiichiro Oda (One Piece), Tite ...",9781974735358,,The Shonen Jump Guide to Making Manga_344.jpg
The Shonen Jump Guide to Making Manga,"Weekly Shonen Jump Editorial Department,","From Dragon Ball to Demon Slayer, from One Piece to My Hero Academia and beyond, Weekly Shonen Jump has published some of the finest manga to grace the earth. Now, the creators and editors behind several of the most popular manga in Shonen Jump sit down to discuss how to craft exciting stories, how to use your tools to the best of your abilities, and more. Whether you’re getting started on your artistic path or a veteran looking for new tips, The Shonen Jump Guide to Making Manga is the perfect book to sharpen your skills. Featuring commentary and advice from Eiichiro Oda (One Piece), Tite ...",9781974735358,,The Shonen Jump Guide to Making Manga_345.jpg
The Shonen Jump Guide to Making Manga,"Weekly Shonen Jump Editorial Department,","From Dragon Ball to Demon Slayer, from One Piece to My Hero Academia and beyond, Weekly Shonen Jump has published some of the finest manga to grace the earth. Now, the creators and editors behind several of the most popular manga in Shonen Jump sit down to discuss how to craft exciting stories, how to use your tools to the best of your abilities, and more. Whether you’re getting started on your artistic path or a veteran looking for new tips, The Shonen Jump Guide to Making Manga is the perfect book to sharpen your skills. Featuring commentary and advice from Eiichiro Oda (One Piece), Tite ...",9781974735358,,The Shonen Jump Guide to Making Manga_346.jpg
The Shonen Jump Guide to Making Manga,"Weekly Shonen Jump Editorial Department,","From Dragon Ball to Demon Slayer, from One Piece to My Hero Academia and beyond, Weekly Shonen Jump has published some of the finest manga to grace the earth. Now, the creators and editors behind several of the most popular manga in Shonen Jump sit down to discuss how to craft exciting stories, how to use your tools to the best of your abilities, and more. Whether you’re getting started on your artistic path or a veteran looking for new tips, The Shonen Jump Guide to Making Manga is the perfect book to sharpen your skills. Featuring commentary and advice from Eiichiro Oda (One Piece), Tite ...",9781974735358,,The Shonen Jump Guide to Making Manga_347.jpg
The Shonen Jump Guide to Making Manga,"Weekly Shonen Jump Editorial Department,","From Dragon Ball to Demon Slayer, from One Piece to My Hero Academia and beyond, Weekly Shonen Jump has published some of the finest manga to grace the earth. Now, the creators and editors behind several of the most popular manga in Shonen Jump sit down to discuss how to craft exciting stories, how to use your tools to the best of your abilities, and more. Whether you’re getting started on your artistic path or a veteran looking for new tips, The Shonen Jump Guide to Making Manga is the perfect book to sharpen your skills. Featuring commentary and advice from Eiichiro Oda (One Piece), Tite ...",9781974735358,,The Shonen Jump Guide to Making Manga_348.jpg
The Shonen Jump Guide to Making Manga,"Weekly Shonen Jump Editorial Department,","From Dragon Ball to Demon Slayer, from One Piece to My Hero Academia and beyond, Weekly Shonen Jump has published some of the finest manga to grace the earth. Now, the creators and editors behind several of the most popular manga in Shonen Jump sit down to discuss how to craft exciting stories, how to use your tools to the best of your abilities, and more. Whether you’re getting started on your artistic path or a veteran looking for new tips, The Shonen Jump Guide to Making Manga is the perfect book to sharpen your skills. Featuring commentary and advice from Eiichiro Oda (One Piece), Tite ...",9781974735358,,The Shonen Jump Guide to Making Manga_349.jpg
The Shonen Jump Guide to Making Manga,"Weekly Shonen Jump Editorial Department,","From Dragon Ball to Demon Slayer, from One Piece to My Hero Academia and beyond, Weekly Shonen Jump has published some of the finest manga to grace the earth. Now, the creators and editors behind several of the most popular manga in Shonen Jump sit down to discuss how to craft exciting stories, how to use your tools to the best of your abilities, and more. Whether you’re getting started on your artistic path or a veteran looking for new tips, The Shonen Jump Guide to Making Manga is the perfect book to sharpen your skills. Featuring commentary and advice from Eiichiro Oda (One Piece), Tite ...",9781974735358,,The Shonen Jump Guide to Making Manga_350.jpg
The Shonen Jump Guide to Making Manga,"Weekly Shonen Jump Editorial Department,","From Dragon Ball to Demon Slayer, from One Piece to My Hero Academia and beyond, Weekly Shonen Jump has published some of the finest manga to grace the earth. Now, the creators and editors behind several of the most popular manga in Shonen Jump sit down to discuss how to craft exciting stories, how to use your tools to the best of your abilities, and more. Whether you’re getting started on your artistic path or a veteran looking for new tips, The Shonen Jump Guide to Making Manga is the perfect book to sharpen your skills. Featuring commentary and advice from Eiichiro Oda (One Piece), Tite ...",9781974735358,,The Shonen Jump Guide to Making Manga_351.jpg
Spy x Family – Band 12,Tatsuya Endo,"Anyas cooler Auftritt bei der Entführung des Schulbusses hat ihr nicht nur einen Stella eingebracht – sie ist auf dem Schulhof jetzt auch das Gesprächsthema Nummer eins. Vielleicht hat sie also doch noch eine Chance, um bei Damian so richtig zu punkten. Aber natürlich nur, wenn ihr der plötzliche Ruhm nicht zu Kopf steigt ...",9782832445242,,Spy x Family  Band 12_352.jpg
Spy x Family – Band 12,Tatsuya Endo,"Anyas cooler Auftritt bei der Entführung des Schulbusses hat ihr nicht nur einen Stella eingebracht – sie ist auf dem Schulhof jetzt auch das Gesprächsthema Nummer eins. Vielleicht hat sie also doch noch eine Chance, um bei Damian so richtig zu punkten. Aber natürlich nur, wenn ihr der plötzliche Ruhm nicht zu Kopf steigt ...",9782832445242,,Spy x Family  Band 12_353.jpg
Spy x Family – Band 12,Tatsuya Endo,"Anyas cooler Auftritt bei der Entführung des Schulbusses hat ihr nicht nur einen Stella eingebracht – sie ist auf dem Schulhof jetzt auch das Gesprächsthema Nummer eins. Vielleicht hat sie also doch noch eine Chance, um bei Damian so richtig zu punkten. Aber natürlich nur, wenn ihr der plötzliche Ruhm nicht zu Kopf steigt ...",9782832445242,,Spy x Family  Band 12_354.jpg
Spy x Family – Band 12,Tatsuya Endo,"Anyas cooler Auftritt bei der Entführung des Schulbusses hat ihr nicht nur einen Stella eingebracht – sie ist auf dem Schulhof jetzt auch das Gesprächsthema Nummer eins. Vielleicht hat sie also doch noch eine Chance, um bei Damian so richtig zu punkten. Aber natürlich nur, wenn ihr der plötzliche Ruhm nicht zu Kopf steigt ...",9782832445242,,Spy x Family  Band 12_355.jpg
Spy x Family – Band 12,Tatsuya Endo,"Anyas cooler Auftritt bei der Entführung des Schulbusses hat ihr nicht nur einen Stella eingebracht – sie ist auf dem Schulhof jetzt auch das Gesprächsthema Nummer eins. Vielleicht hat sie also doch noch eine Chance, um bei Damian so richtig zu punkten. Aber natürlich nur, wenn ihr der plötzliche Ruhm nicht zu Kopf steigt ...",9782832445242,,Spy x Family  Band 12_356.jpg
Spy x Family – Band 12,Tatsuya Endo,"Anyas cooler Auftritt bei der Entführung des Schulbusses hat ihr nicht nur einen Stella eingebracht – sie ist auf dem Schulhof jetzt auch das Gesprächsthema Nummer eins. Vielleicht hat sie also doch noch eine Chance, um bei Damian so richtig zu punkten. Aber natürlich nur, wenn ihr der plötzliche Ruhm nicht zu Kopf steigt ...",9782832445242,,Spy x Family  Band 12_357.jpg
Spy x Family – Band 12,Tatsuya Endo,"Anyas cooler Auftritt bei der Entführung des Schulbusses hat ihr nicht nur einen Stella eingebracht – sie ist auf dem Schulhof jetzt auch das Gesprächsthema Nummer eins. Vielleicht hat sie also doch noch eine Chance, um bei Damian so richtig zu punkten. Aber natürlich nur, wenn ihr der plötzliche Ruhm nicht zu Kopf steigt ...",9782832445242,,Spy x Family  Band 12_358.jpg
"My Hero Academia: School Briefs, Vol. 4",Anri Yoshi,"Hey, hey, hey, folks! It’s finally time for U.A.’s School Festival! This is a showstopping event where our little heroes in training are pouring their hearts and souls into a live concert, a stage play, and much, much more—all for your entertainment! Are you ready? -- VIZ Media",9781974719044,,My Hero Academia School Briefs Vol 4_359.jpg
"My Hero Academia: School Briefs, Vol. 4",Anri Yoshi,"Hey, hey, hey, folks! It’s finally time for U.A.’s School Festival! This is a showstopping event where our little heroes in training are pouring their hearts and souls into a live concert, a stage play, and much, much more—all for your entertainment! Are you ready? -- VIZ Media",9781974719044,,My Hero Academia School Briefs Vol 4_360.jpg
"My Hero Academia: School Briefs, Vol. 4",Anri Yoshi,"Hey, hey, hey, folks! It’s finally time for U.A.’s School Festival! This is a showstopping event where our little heroes in training are pouring their hearts and souls into a live concert, a stage play, and much, much more—all for your entertainment! Are you ready? -- VIZ Media",9781974719044,,My Hero Academia School Briefs Vol 4_361.jpg
"My Hero Academia: School Briefs, Vol. 4",Anri Yoshi,"Hey, hey, hey, folks! It’s finally time for U.A.’s School Festival! This is a showstopping event where our little heroes in training are pouring their hearts and souls into a live concert, a stage play, and much, much more—all for your entertainment! Are you ready? -- VIZ Media",9781974719044,,My Hero Academia School Briefs Vol 4_362.jpg
"My Hero Academia: School Briefs, Vol. 4",Anri Yoshi,"Hey, hey, hey, folks! It’s finally time for U.A.’s School Festival! This is a showstopping event where our little heroes in training are pouring their hearts and souls into a live concert, a stage play, and much, much more—all for your entertainment! Are you ready? -- VIZ Media",9781974719044,,My Hero Academia School Briefs Vol 4_363.jpg
"My Hero Academia: School Briefs, Vol. 4",Anri Yoshi,"Hey, hey, hey, folks! It’s finally time for U.A.’s School Festival! This is a showstopping event where our little heroes in training are pouring their hearts and souls into a live concert, a stage play, and much, much more—all for your entertainment! Are you ready? -- VIZ Media",9781974719044,,My Hero Academia School Briefs Vol 4_364.jpg
"My Hero Academia: School Briefs, Vol. 4",Anri Yoshi,"Hey, hey, hey, folks! It’s finally time for U.A.’s School Festival! This is a showstopping event where our little heroes in training are pouring their hearts and souls into a live concert, a stage play, and much, much more—all for your entertainment! Are you ready? -- VIZ Media",9781974719044,,My Hero Academia School Briefs Vol 4_365.jpg
"My Hero Academia: School Briefs, Vol. 4",Anri Yoshi,"Hey, hey, hey, folks! It’s finally time for U.A.’s School Festival! This is a showstopping event where our little heroes in training are pouring their hearts and souls into a live concert, a stage play, and much, much more—all for your entertainment! Are you ready? -- VIZ Media",9781974719044,,My Hero Academia School Briefs Vol 4_366.jpg
"Junji Ito Serie 3: Deluxe Edition Hardcover Collection 6 Book Set (Frankenstein: Junji Ito Story, Venus Blind Spot, Fragments of Horror, Shiver , Remina , Smashed)",Junji Ito,No description available.,9798897221455,,
"One Piece, Vol. 1",Eiichiro Oda,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece! As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when Luffy accidentally ate the Gum-Gum Devil Fruit and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the wo...",1569319014,,One Piece Vol 1_368.jpg
"One Piece, Vol. 1",Eiichiro Oda,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece! As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when Luffy accidentally ate the Gum-Gum Devil Fruit and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the wo...",1569319014,,One Piece Vol 1_369.jpg
"One Piece, Vol. 1",Eiichiro Oda,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece! As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when Luffy accidentally ate the Gum-Gum Devil Fruit and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the wo...",1569319014,,One Piece Vol 1_370.jpg
"One Piece, Vol. 1",Eiichiro Oda,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece! As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when Luffy accidentally ate the Gum-Gum Devil Fruit and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the wo...",1569319014,,One Piece Vol 1_371.jpg
"One Piece, Vol. 1",Eiichiro Oda,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece! As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when Luffy accidentally ate the Gum-Gum Devil Fruit and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the wo...",1569319014,,One Piece Vol 1_372.jpg
"One Piece, Vol. 1",Eiichiro Oda,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece! As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when Luffy accidentally ate the Gum-Gum Devil Fruit and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the wo...",1569319014,,One Piece Vol 1_373.jpg
"One Piece, Vol. 1",Eiichiro Oda,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece! As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when Luffy accidentally ate the Gum-Gum Devil Fruit and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the wo...",1569319014,,One Piece Vol 1_374.jpg
"One Piece, Vol. 1",Eiichiro Oda,"Join Monkey D. Luffy and his swashbuckling crew in their search for the ultimate treasure, One Piece! As a child, Monkey D. Luffy was inspired to become a pirate by listening to the tales of the buccaneer ""Red-Haired"" Shanks. But his life changed when Luffy accidentally ate the Gum-Gum Devil Fruit and gained the power to stretch like rubber...at the cost of never being able to swim again! Years later, still vowing to become the king of the pirates, Luffy sets out on his adventure...one guy alone in a rowboat, in search of the legendary ""One Piece,"" said to be the greatest treasure in the wo...",1569319014,,One Piece Vol 1_375.jpg
Hunter x Hunter,Yoshihiro Togashi,No description available.,1421501856,,Hunter x Hunter_376.jpg
Baudelaire's World,Rosemary Lloyd,"Lloyd builds an image of Baudelaire's world around major themes of this writing - childhood, women, reading, the city, dreams, art, nature, death. Throughout, she finds that his words and themes echo the historical and physical realities of life in mid-nineteenth-century Paris."".",0801440262,,Baudelaires World_377.jpg
"The Plague, The Fall, Exile and the Kingdom, and Selected Essays",Albert Camus,"From one of the most brilliant and influential thinkers of the twentieth century–two novels, six short stories, and a pair of essays in a single volume. In both his essays and his fiction, Albert Camus (1913—1960) de-ployed his lyric eloquence in defense against despair, providing an affirmation of the brave assertion of humanity in the face of a universe devoid of order or meaning. The Plague–written in 1947 and still profoundly relevant–is a riveting tale of horror, survival, and resilience in the face of a devastating epidemic. The Fall (1956), which takes the form of an astonishing conf...",9781400042555,,The Plague The Fall Exile and the Kingdom and Sele_378.jpg
The Golden Age,Kenneth Grahame,No description available.,,,
Endymion,Dan Simmons,"LOCUS AWARD FINALIST • The multiple-award-winning science fiction master returns to the world of Hyperion in this dazzling third novel of the Hyperion Cantos, introducing new characters who bear the fate of time itself in their hands. “An unfailingly inventive narrative . . . generously conceived and stylistically sure-handed.”—The New York Times Book Review Two hundred and seventy-four years after the fall of the WorldWeb in Fall of Hyperion, Raoul Endymion is sent on a quest. Retrieving Aenea from the Sphinx before the Church troops reach her is only the beginning. With help from a blue-s...",9780307781918,,Endymion_380.jpg
Golden Son,Pierce Brown,"NEW YORK TIMES BESTSELLER • Red Rising hit the ground running and wasted no time becoming a sensation. Golden Son continues the stunning saga of Darrow, a rebel forged by tragedy, battling to lead his oppressed people to freedom. NAMED ONE OF THE BEST BOOKS OF THE YEAR BY NPR, BUZZFEED, AND BOOKLIST • “Gripping . . . On virtually every level, this is a sequel that hates sequels—a perfect fit for a hero who already defies the tropes. [Grade:] A”—Entertainment Weekly As a Red, Darrow grew up working the mines deep beneath the surface of Mars, enduring backbreaking labor while dreaming of the ...",9780345539823,,Golden Son_381.jpg
Morning Star,Pierce Brown,"""The conclusion of the Red Rising trilogy. Born a lowly Red in the mines of Mars, Darrow lost his beloved wife to the treacherous Gold overlords. Vowing to fight for the future that his wife believed in, Darrow joins a secret revolutionary group and is remade into a Gold so that he can infiltrate the ruling class and bring them down from the inside. Now, after years of hiding amongst the Golds, Darrow is finally ready to declare open revolution and throw off the chains of oppression. Nothing in Darrow's world has been easily won, and this final fight will be the most harrowing of all""--",1444759051,,Morning Star_382.jpg
"Red Rising Series 5 Books Collection Set by Pierce Brown (Red Rising, Golden Son, Morning Star, Iron Gold) [Paperback] [2019] Pierce Brown",Pierce Brown,No description available.,9798998564352,,Red Rising Series 5 Books Collection Set by Pierce_383.jpg
Magpie Murders,Anthony Horowitz,"Don’t miss Magpie Murders on PBS's MASTERPIECE Mystery! ""A double puzzle for puzzle fans, who don’t often get the classicism they want from contemporary thrillers."" —Janet Maslin, The New York Times New York Times Bestseller | Winner of the Macavity Award for Best Novel | NPR Best Book of the Year | Washington Post Best Book of the Year | Esquire Best Book of the Year From the New York Times bestselling author of Moriarty and Trigger Mortis, this fiendishly brilliant, riveting thriller weaves a classic whodunit worthy of Agatha Christie into a chilling, ingeniously original modern-day myste...",9780062645241,,Magpie Murders_384.jpg
The Long Cosmos,"Terry Pratchett, Stephen Baxter","Completed by the authors some eighteen months before Terry Pratchett's untimely death, The Long Cosmos is the grand climax of the Long Earth series. Terry had always wanted to explore the question 'what's it all for?' -- and in this novel, we find an answer. 2070-71. Nearly six decades after Step Day and in the Long Earth, the new Next post-human society continues to evolve. For Joshua Valienté, now in his late sixties, it is time to take one last solo journey into the High Meggers: an adventure that turns into a disaster. Alone and facing death, his only hope of salvation lies with a group...",9780552173902,,The Long Cosmos_385.jpg
Killing Is My Business,Adam Christopher,"""Robot noir in 60s Los Angeles? You had me at 'Hello.'"" —John Scalzi, New York Times–bestselling author Another golden morning in a seedy town, and a new memory tape and assignment for intrepid PI-turned-hitman—and last robot left in working order—Raymond Electromatic. But his skills may be rustier than he remembered in Killing Is My Business, the second book in Adam Christopher's robot noir oeuvre, hot on the heels of the acclaimed Made to Kill. ""Gripping, funny, deadly and suspenseful."" —Boing Boing on Made to Kill ""Effortlessly swift and clever."" —NPR Ray Electromatic Mysteries Brisk Mon...",9781466867161,,Killing Is My Business_386.jpg
The Burning Page,Genevieve Cogman,"Librarian spy Irene and her apprentice Kai return for another “tremendously fun, rip-roaring adventure,” (A Fantastical Librarian)—the third in the bibliophilic fantasy series from the author of The Masked City. Never judge a book by its cover... Due to her involvement in an unfortunate set of mishaps between the dragons and the Fae, Librarian spy Irene is stuck on probation, doing what should be simple fetch-and-retrieve projects for the mysterious Library. But trouble has a tendency to find both Irene and her apprentice, Kai—a dragon prince—and, before they know it, they are entangled in ...",9781101988688,,The Burning Page_387.jpg
The Masked City,Genevieve Cogman,"Librarian-spy Irene and her apprentice Kai are back in the second in this “dazzling”* book-filled fantasy series from the author of The Invisible Library. The written word is mightier than the sword—most of the time... Working in an alternate version of Victorian London, Librarian-spy Irene has settled into a routine, collecting important fiction for the mysterious Library and blending in nicely with the local culture. But when her apprentice, Kai—a dragon of royal descent—is kidnapped by the Fae, her carefully crafted undercover operation begins to crumble. Kai’s abduction could incite a c...",9781101988664,,The Masked City_388.jpg
"Children of Time 3-Book Set by Adrian Tchaikovsky (Children of Time, Children of Ruin, Children of Memory)",Adrian Tchaikovsky,No description available.,1637990243,,
Sleeping Giants,Sylvain Neuvel,"A page-turning debut in the tradition of Michael Crichton, World War Z, and The Martian, Sleeping Giants is a thriller fueled by an earthshaking mystery—and a fight to control a gargantuan power. A girl named Rose is riding her new bike near her home in Deadwood, South Dakota, when she falls through the earth. She wakes up at the bottom of a square hole, its walls glowing with intricate carvings. But the firemen who come to save her peer down upon something even stranger: a little girl in the palm of a giant metal hand. Seventeen years later, the mystery of the bizarre artifact remains unso...",9781101886700,,Sleeping Giants_390.jpg
